,x
101,"min @sicepat_ekspres saya beli makanan kucing dari tokped, dan datengÂ² kayak giniðŸ™ƒ kurir bilang kemungkinan digigit tikus di penyimpanan gudang di pucangsawit surakarta. tapi admin malah bilang tolong divideokan waktu unboxing biar bisa diklaim ke seller."
102,Anjir sicepat emang cepatðŸ˜­ðŸ˜­ðŸ‘ðŸ»ðŸ‘ðŸ»
103,"Sicepat ih ngaco bgt emang, ini paket gue kelindes gajah apa gimanaðŸ¥²"
104,Untung gw udah pindah ke Sicepat ðŸ¤“ #BoikotJNE
105,No longer using JNE since I know SiCepat. Terbaikkkk bgt SiCepat tuhhhhðŸ˜ðŸ¤©ðŸ’ƒðŸ’•
106,"yang mau joki tulis dikirim fisik bisa banget di aku! dikirim pake ekspedisi jnt, sicepat, jne atau bisa dikirim sameday pake gosend. daerah jabodetabek free ongkir (ga berlaku pake gosend), luar jabodetabek aku subsidi 10k. (ini khusus orderan up to 60k) #zonauang"
107,"sicepat sicepat. 2x mesan barang yg hrsnya dipake harinii, eh besoknya bru nympe..."
108,"Kapok pake JNE. Yes sehari sampai, malah 2 hari sampai. Padahal lagi butuh cepet. Kejadian bukan sekali dua kali. Untung sekarang, sicepat masih yang terbaik. #BoikotJNE"
109,"Tumbenan banget sicepat ngaret, Biasanya paling lama siang udah dateng."
110,"this must be a jokes, buyin stuff on 30th nov and im not even receiving this stuff until today. imagine my stuff idle on the same fuckin city for 3 days and nothing happened. you good @sicepat_ekspres ?"
111,"Kebiasaan pake sicepat, pas pke jnt kok lama bngt yaaðŸ¤§"
112,#SiCepat memang Cepat jos mantab.
113,"halo @sicepat_ekspres saya awalnya ga mau berburuk sangka sama ekspedisi anda, tapi kalo kejadiannya berulang dan sama setiap kalinya ada yang angkat bicara, saya jadi tidak bisa berpikir baik. tolong dengan sangat perbaiki kualiatas pelayanan anda."
114,ga lagi2 deh pake sicepat lama bgt paket gua sampe
115,waduh sicepat knp jadi silambat :(
116,kenapa pd heboh #BoikotJNE ya? kan emg pemiliknya kaum org2 aneh konservatif lagian pelayanan juga jauh lebih bagus J&T sama sicepat
117,"capek banget emang kalau seller udah pake ekspedisi @sicepat_ekspres , udahlah status nya gak update, barang juga gak sampe sampe"
118,Emang paling bener pake sicepat. Pake jnt barang nyangkut di sortir ga berubah2 statusnya
119,"Sicepat bae wis, atheis be orapapa ttp olih kerja wkwk RT @MochArdie89: Lagi rame #BoikotJNE buzzer sampe segitunya cari duit Biar netizen yg nilai deh fto kanan dan kiri :)"
120,"Yang butuh jasa admin packing bisa coba DM aku yaa, aku dom Bekasi Shopee adaâœ… Rumah deket sicepat, JNE, wahana, JNTâœ…"
121,Kenapa kau tak secepat yang kemaren @sicepat_ekspres ðŸ˜­ðŸ™ðŸ»
122,JNE biasanya pake SiCepat reg/halu cuman 1 hari ini bisa 3 hari itu juga gatau dah sampe apa engga. Anjim emang. Penjualnya cuman ada pilihan JNE doang apes apes dahhh
123,Ora melu melu #BoikotJNE Karna kurir itu yg slalu gua pake selain sicepat.
124,#NAME?
125,"Walau banyak rintangan dan penolakan dalam setiap usaha yang kita lakukan, bukan berarti kita harus menyerah. Jadikan setiap penolakan sebagai motivasi untuk menjadi lebih baik lagi Jadi teruslah semangat ya sahabat dan jangan pernah menyerah ðŸ˜‰ #SiCepatEkspres #KutipanSiCepat"
126,hehehe untung pake @sicepat_ekspres #BoikotJNE
127,"ini maksutnya gimana si? cek resi diliat udah nyampe ditangerang, tapi ga sampe-sampe rumah. sicepat lagi overload apa gimana ya? padahal pake cargo biasanya sehari udah sampeðŸ˜"
128,"Oh jd gara2 itu ya pd #BoikotJNE ? Udh jrg pk jne lg, klo ngirim disini skrg siang sore bahkan. Udh klh sm jnt & sicepat. Bahkan ga ada 24 jam udh nyampe pdhl pk yg biasa doank. Klo jne mesti pk sds klo ga yes wkwk"
129,"gw pake JNT dan sicepat kaga pernah @JNECare ternyata pendana ormasnya briziek, pantes temen gw yg kerja di jne fatmawati kadrun semua tukang sebar hoax #BoikotJNE"
130,"apanih jnt dari bandung ke jakarta jam 10 malem sampe skrng gasampe, sicepat jam set2 dari bandung udh nyampe payah bat jnt"
131,tumben sicepat lambat
132,Tumbenan ini Sicepat dari Jatim sampe hampir seminggu. Selak kepo sama bajune elah
133,Sicepat bianya 3-5 hari sampe nah ini udah seminggu belom nyampe dih
134,Emng bagus pengiriman @JNE_ID ?? Bagusan juga @sicepat_ekspres Gk bnyk bcot tau2 udh nyampe paket nya wkkwk #BoikotJNE #JNEsara
135,Sicepat udah gak cepat lagi anjrot
136,Drama Hampir Kena Tipu Oleh Pembeli Shopee MP: Shopee Exp: Sicepat More:
137,"1. Pesanan sebelum jam 14.30 dikirim hari sama (kec. PO) 2. Resi gstre CEK BERKALA di email yang kalian isi diidentitas. Jne/sicepat muncul resi H+1, JNT paling lama h+1 stlh brg dikrm (lbh cpt keluar resi drpd ekspedisi diatas) 3. Sblm CO LIAT CO pake ekspedisi apa =>baca poin 2"
138,"baguslah si tokped free ongkirnya pake anteraja lagi, daripada sicepat kurirnya ga ramah banget asli tiap dibilang terima kasih ga pernah respon ðŸ˜’"
139,"Diluar isu radikalisme , JNE benar2 merupakan jasa kirim terlemot dan terburuk yang pernah saya pakai. Terbaik : Sicepat , antareja , JnT #BoikotJNE"
140,Gak juga sih. Biasanya pake JNT atau SiCepat. JNE lebih mahal dan lelet soalnya. RT @Divonis_Cakep: Sok2 #BoikotJNE tapi pas check out nyari @JNECare juga ðŸ¤£ #KamiBersamaJNE
141,minto @TokopediaCare brg ak blm aj d pick up nih sm @sicepat_ekspres no resi nya 002772758611
142,"Parah banget dah @sicepat_ekspres udh 2 hari telepon ke CS nya juga ga ada perkembangan apa2.. kalau emang ga mau kirim paketnya, udah kasih ke @JNE_ID aja.. nanti ongkirnya saya ganti.."
143,Hola @sicepat_ekspres 002773327276. Cuma mau nambahin alamat. Jl kancil 3/jl guru muhyin no 71 lenteng agung jakarta selatan. Takut si gesit nya bingung. Thx ya
144,Wahh jne ya... Padahal disini dia paling rajin jemput paket.. tapi sudahlah.. #BoikotJNE Balik ke @sicepat_ekspres aja full
145,"asli sicepat beneran cepet banget anjir, kirim kemaren hari ini dah nyampe padahal estimasi 2-3 hari"
146,sicepat memang mantap
147,"pake sicepat, lama y"
148,"Ngapain #BoikotJNE ?? Dari sisi harga saja, auto gua boikot... Maaf ya ekspedisi favorit gue Wahana dan SiCepat. Wahana ongkir paling murah, SiCepat mahalan dikit, tapi pengiriman cepat & tanpa hari libur..."
149,"Trending #BoikotJNE kirain krn srvicenya,tp tnyta krn buzzer, tp jjur gw make JTR pelaynnya buruk,jauh lebih baik sicepat cargo,dg waktu pengiriman dan dr kota yg sm,sicepat antar paket lebih cepat jauh sekali dg JTR yg smpe skrg blm nyampe, @JNECare"
150,"Untung nggak pernah pake JNE ðŸ˜‚ Pake ya J&T, sicepat waduh kecepetan, paxel, atau gosend wakakakakkk. Udah agak males juga maenannya begini si radikul tukang hujat ðŸ˜‚ #BoikotJNE"
151,Sicepat yang beneran cepat
152,Mending @sicepat_ekspres dong.. Bismillah iPhone 13 pro #BoikotJNE
153,"JNE udh tenggelam. Sejak dekat sm ustad2 dan ulama gadungan kadrun yg sempet viral 2018-2019 lalu. Sejak itu org2 udh jarang pake JNE lg. Org2 skrg pakenya J&T, SiCepat, AnterAja, dll. Nasib JNE sudah seperti BukaLapak. Nyungsep. RT @ChrisJ_2211: Speechless â˜¹ï¸"
154,"Wait.. You all still using JNE? Bruh, SiCepat lebih superior ðŸ˜‚ Paket Cepet Murah Paketnya ga pernah dibobol pula kek JNE pas gue beli Keyboard dulu ðŸ˜‚ðŸ˜‚"
155,Komplain ke cs sicepat jg mereka kekeh uda dihubungin ga bisa. YA YG DIHUBUNGIN NOMOR YG LAGI MASALAH. UDA DIKASIH 2 NOMOR LAIN YANG ALWAYS STANDBY GA ADA INFO APAPUN TUH???
156,Sicepat???? Ini gue baru pesen kmrn lho gileeee
157,"Tolong yg rasis2 diputus jadi mitra @JNE_ID ya... Drpd diboikot ntar repot! Jasa begini udah byk boss! Buat yg lain @IdTiki @jntexpressid @sicepat_ekspres dll jgn ikutan rasis ya... RT @Trending_Issue: Jadi nya @JNE_ID ""cuman"" mau nerima yang beragama Islam doank ya?"
158,"ini kok paket saya ga dateng"" ya? dari sabtu loh harusnya udah sampe @sicepat_ekspres"
159,"Gw jg udah lama kaga pake JNE lagi...ngeri juga yah ,kalo sebagian profitnya kalo di sumbangin ke teroris... Lagi pake sicepat,anteraja, idexpres #boikotjne #BoikotJNE #BoikotJNE #BoikotJNE #BoikotJNE #BoikotJNE"
160,tmi pagi2 pcr gue bangunin gue lewat kurir sicepat
161,"emang paling mantep sicepat nii! estimasi tanggal 9, tanggal 7 udah datang"
162,"Hai @anteraja_id dan @TokopediaCare gratis ongkir nya dari @sicepat_ekspres sehari bisa sampe,, ini @anteraja_id order sabtu, hari ini selasa belum nyampe, padahal sama gratis ongkir.. #bukanmaen"
163,"Sicepat masih andalaque, service regulernya sangat tidak amanah!!! Maaasssaaa bilangnya sampai dalam 2-3 hari, besoknya udh sampe!!! Kan jadi enak! RT @ChrisJ_2211: Speechless â˜¹ï¸"
164,Halo kaaa mau nanya paket saya hilang itu kelanjutannya gmn yaaaa @sicepat_ekspres
165,"Pantesan SiCepat OP parah, persiapan pengiriman aja dari jam 5 subuh ðŸ¥º"
166,Lowongan Kerja PT Sicepat Ekspres Posisi : Admin Finance Kualifikasi : * Pendidikan D3/S1 semua jurusan * Dapat mengoperasikan Ms Office * Dapat bekerja secara individu team * Memiliki kemampuan analisa yang baik Selengkapnya di:
167,kurir  lebih cepet dr sicepatðŸ‘Œ
168,sicepat emang suka lama gini ya
169,MANA DIANTER SICEPAT MANA DOMNYA DI JKT
170,"Kecelakaan Tragis di Sambungmacan Sragen, Mobil Ekspedisi  Ringsek Gasak Jembatan Sampai Berputar 180 Derajat. Begini Nasib Sopirnya!"
171,"Pelayanan terburuk sepanjang masa, ribet pertanyaan gitu"" aja. Dikirim tidak ditanyain terus iya. ðŸ˜ª Buat emosi aja menunggu paket gak jelas @sicepat_ekspres"
172,Sak karepmu @JNECare gw udah gak pake jne dan gak bakalan pernah pake lagi. sekarang jadi pelanggan setia @sicepat_ekspres
173,"Barutau gua kalo truk nya sicepat mesti konvoi smp deret 8 mana kenceng pula ngebut 120kpj baru bs ngeblong, lucu liatnya"
174,"Duh kemarin @sicepat_ekspres yg ngga jelas, sekarang @jntexpressid ðŸ˜µâ€ðŸ’«ðŸ˜µâ€ðŸ’«ðŸ˜µâ€ðŸ’«. Ini ngga ada konfirmasi apa2 di tulisnya malah begini, kacau bgt sih. Padahal tertulisnya di terima sblm tgl 6, skrg udah tgl 6 dan ada notif reschedule dgn customer pdhl ngga ada sama sekali info!!"
175,Sekarang gue malah overthinking nasib paket gue. Aduh sicepat cepetan dongg kirimnya ntar keburu basi dijalan ðŸ˜­
176,fakk pantes aja kmrn ada feeling buat pake sicepat aja jgn jnt gataunya paket w + semua org pada ngestuck anjjj
177,"Jm sekarang kalo minta pick up udah gabisa dijemput kurir eksedisi langsung ya? Aku tadi pake sicepat, tp yg dateng dari shipper id. Padahal kemarin pake sicepat, yg dateng kurir sicepat yg biasa pick up. Pake pihak ketiga jadi lama :("
178,Lebih pilih yang mana Antara sicepat tapi tak tepat atau silambat namun tepat?
179,"Halo onwer GO Yang lagi butuh Admin Packing, aku bersedia ya, â­•ï¸Sudah pernah pengalaman packing untuk jualan pribadi. â­•ï¸Rumah deket ekspedisi (JNE, JNT, shopee express, sicepat). â­•ï¸Fee bisa dibicarakan dulu. ðŸ“DOM: Tangerang. Yang need bisa gedor DM ku Terima kasihðŸ™ðŸ»"
180,"Sicepat bohong banget, katanya perkiraan sampai ke garut itu 3-6 hari. Eh ternyata sehari udah mendarat di garut yg gak ada mcd itu wkwkwk Aku juga kangen! Kapan share link ngumpul lagi deh ðŸ¥² RT @choproblem: aduuuh seharian uring-uringan krn lg PMS tiba-tiba dapet amunisi tak terduga dari istri kak sangyeon cabang cibuburðŸ¥²â¤ hahahaha. kakk makasih banyaaak, AKU KANGEEEENðŸ¥ºðŸ¥º @mintchowoodz"
181,"Kurir sicepat bener2 ya pas bgt sama meme ""surprise mother fu**er"" wkwkwkk jam 3 sore masih di jakut, jam segini uda sampe kantor yg di tangersng Wkwkww"
182,kaget banget ada barang datang soalnya estimasi pertengahan desember baru datang. bener2 ya sicepat ini halu kaya namanya. thanks dehðŸ˜­ðŸ™
183,Nama @sicepat_ekspres tidak mencerminkan kecepatannya.... Hufff
184,sicepat lo . . . cepet banget ? RT @losingrush: fuck physics MY ALBUM IS COMING YAWSS
185,"bisa ternyata, luv u sicepat RT @3yhours: kalo 1 paket minta pickup sicepat bakal diambil ga sie?"
186,sicepat kok tumben letoy nih ðŸ¥²
187,"Kr! mau tanya, Ada yang pernah proses interview di sicepat ?"
188,Sicepat di rumah gua beneran cepat guys mantap dah
189,Macrame KeyRing/Bag KeyChain Motif C Rainbow. ðŸ’° Only 15k ðŸ“¦ P.O 7 Hari ðŸ’¸ Order via DM or Inbox ðŸ’Œ Cash/Dana/Mandiri/Shopeepay ðŸš› JNT/JNE/TIKI/SICEPAT/COD daerah Bandar Lampung Pengiriman Seluruh Indonesia #macrame #walldecor #decor #keyring #Accessories
190,"sicepat tolong cepatsi, barangnya mau dipke besokkkk..."
191,sicepat beneran cepet bgt ya
192,"JM Seller gostore ada yang pernah gini ngga? ðŸ˜­ðŸ˜­ udah minta pickup ke moka shippernya dari hari jumat tapi katanya pickup gagal, terus malah otomatis dibatalkan ksl bgt sm sicepat payah bgt responnya... Mau nangisðŸ˜­ðŸ˜­"
193,"Drama Kurir Minta Foto KTP Exp: SiCepat MP: Tokopedia ps: Kalau cuma sekedar minta lihat KTP untuk memastikan identitas penerima sih masih wajar, tapi kalau ada yang minta foto KTP itu sekarang siapapun pasti waswas. Sauce:  cc: @sicepat_ekspres"
194,Min @sicepat_ekspres ngapa nih? Nggak biasanya begini. Udah seminggu lebih nunggu kaga nyampe2 ðŸ™„
195,SiCepat memang cepat.
196,"Ya Allah anteraja ini kenapa seh. Kalo pakai JNT atau Sicepat dari tangerang hari Sabtu, pasti Senin dah datang. Ini Senin masih di hub Tangerang coba. Gila apa"
197,Lowongan Kerja PT Sicepat Ekspress Indonesia Posisi : Kurir Freelance Kualifikasi : * Pendidikan minimal SMP * Memiliki motor matic/bebek * Siap bekerja saat Hujan/Panas * Memiliki HP Android minimal RAM 3 Selengkapnya di:
198,kalo 1 paket minta pickup sicepat bakal diambil ga sie?
199,paket gue knp ga dateng dateng .. sicepat kok lama banget ya
200,"minta pickup paket si cepat dah dari kemarin tapi nggak ada respon dari kurirnya, dan nggak cuma sekali trus kalau kayak gini gunanya ada pilihan pickup apa? @sicepat_ekspres"
201,"Pakai dua ekspedisi berbeda, Sabtu sama-sama dikirim dari Jakarta, Senin pagi sampai. Untuk kali ini SiCepat kesalip dulu ama JNE."
202,Lah kok jadi tawaf @sicepat_ekspres
